"","send_country_iso","send_country","send_lon","send_lat","post_country_iso","post_country","post_city_country","post_city","post_city_lon","post_city_lat","post_type","post_title","query2","lon","lat"
"1","ARG","Argentina",-63.616672,-38.416097,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Argentina, Embassy, Manila, Philippines",121.0260085,14.5604142
"2","AUS","Australia",133.775136,-25.274398,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Australia, Embassy, Manila, Philippines",121.016509,14.560701
"3","AUT","Austria",14.550072,47.516231,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Austria, Embassy, Manila, Philippines",121.056234,14.5586358
"4","BGD","Bangladesh",90.356331,23.684994,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Bangladesh, Embassy, Manila, Philippines",121.0169328,14.551877
"5","BEL","Belgium",4.469936,50.503887,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Belgium, Embassy, Manila, Philippines",121.017762,14.559493
"6","BRA","Brazil",-51.92528,-14.235004,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Brazil, Embassy, Manila, Philippines",121.0282211,14.5943189
"7","BRN","Brunei Darussalam",114.727669,4.535277,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Brunei Darussalam, Embassy, Manila, Philippines",121.020675,14.556765
"8","KHM","Cambodia",104.990963,12.565679,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Cambodia, Embassy, Manila, Philippines",121.0228797,14.5617615
"9","CAN","Canada",-106.346771,56.130366,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Canada, Embassy, Manila, Philippines",121.016418,14.560719
"10","CHL","Chile",-71.542969,-35.675147,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Chile, Embassy, Manila, Philippines",121.025914,14.560462
"11","CHN","China",104.195397,35.86166,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","China, Embassy, Manila, Philippines",121.0296278,14.5421842
"12","CZE","Czech Republic",15.472962,49.817492,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Czech Republic, Embassy, Manila, Philippines",121.0184192,14.5580245
"13","DNK","Denmark",9.501785,56.26392,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Denmark, Embassy, Manila, Philippines",121.0566384,14.5599423
"14","FRA","France",2.213749,46.227638,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","France, Embassy, Manila, Philippines",121.026974,14.5610219
"15","DEU","Germany",10.451526,51.165691,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Germany, Embassy, Manila, Philippines",121.0164964,14.5607186
"16","GRC","Greece",21.824312,39.074208,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Greece, Embassy, Manila, Philippines",121.0178016,14.5546609
"17","HUN","Hungary",19.5033041,47.162494,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Hungary, Embassy, Manila, Philippines",121.0472563,14.5435715
"18","IND","India",78.96288,20.593684,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","India, Embassy, Manila, Philippines",121.0232489,14.5444221
"19","IDN","Indonesia",113.921327,-0.789275,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Indonesia, Embassy, Manila, Philippines",121.0151912,14.5580728
"20","ISR","Israel",34.851612,31.046051,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Israel, Embassy, Manila, Philippines",121.0572875,14.5584703
"21","ITA","Italy",12.56738,41.87194,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Italy, Embassy, Manila, Philippines",121.0152085,14.5573787
"22","JPN","Japan",138.252924,36.204824,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Japan, Embassy, Manila, Philippines",120.99266,14.54018
"23","KOR","Korea Republic of (South Korea)",127.766922,35.907757,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Korea Republic of (South Korea), Embassy, Manila, Philippines",121.0548373,14.5407131
"24","LAO","Lao People's Democratic Republic",102.495496,19.85627,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Lao People's Democratic Republic, Embassy, Manila, Philippines",121.0170302,14.5366102
"25","MYS","Malaysia",101.975766,4.210484,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Malaysia, Embassy, Manila, Philippines",121.021458,14.560486
"26","MEX","Mexico",-102.552784,23.634501,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Mexico, Embassy, Manila, Philippines",121.016493,14.556671
"27","MMR","Myanmar",95.955974,21.916221,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Myanmar, Embassy, Manila, Philippines",121.014044,14.557442
"28","NLD","Netherlands",5.291266,52.132633,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Netherlands, Embassy, Manila, Philippines",121.023757,14.557928
"29","NZL","New Zealand",174.885971,-40.900557,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","New Zealand, Embassy, Manila, Philippines",121.0266563,14.5580289
"30","NOR","Norway",8.468946,60.472024,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Norway, Embassy, Manila, Philippines",121.0472689,14.5435564
"31","PAK","Pakistan",69.345116,30.375321,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Pakistan, Embassy, Manila, Philippines",121.0150962,14.5546504
"32","RUS","Russian Federation",105.318756,61.52401,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Russian Federation, Embassy, Manila, Philippines",121.0301504,14.5424069
"33","SAU","Saudi Arabia",45.079162,23.885942,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Saudi Arabia, Embassy, Manila, Philippines",121.022065,14.5611762
"34","SGP","Singapore",103.819836,1.352083,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Singapore, Embassy, Manila, Philippines",121.046647,14.546302
"35","ZAF","South Africa",22.937506,-30.559482,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","South Africa, Embassy, Manila, Philippines",121.016506,14.560822
"36","ESP","Spain",-3.74922,40.463667,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Consulate / Consulate-General","Consulate-General","Spain, Consulate-General, Manila, Philippines",121.023848,14.558042
"37","ESP","Spain",-3.74922,40.463667,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Spain, Embassy, Manila, Philippines",121.023848,14.558042
"38","LKA","Sri Lanka",80.771797,7.873054,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Sri Lanka, Embassy, Manila, Philippines",121.0164102,14.5564612
"39","SWE","Sweden",18.643501,60.128161,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Sweden, Embassy, Manila, Philippines",121.0472221,14.5435664
"40","CHE","Switzerland",8.227512,46.818188,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Switzerland, Embassy, Manila, Philippines",121.023834,14.558005
"41","TWN","Taiwan*",120.960515,23.69781,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Other","Economic & Cultural Office","Taiwan*, Economic & Cultural Office, Manila, Philippines",-73.9801715,40.7533992
"42","THA","Thailand",100.992541,15.870032,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Thailand, Embassy, Manila, Philippines",121.0183203,14.5561043
"43","TUR","Turkey",35.243322,38.963745,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Turkey, Embassy, Manila, Philippines",121.031787,14.548408
"44","GBR","United Kingdom",-3.435973,55.378051,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","United Kingdom, Embassy, Manila, Philippines",121.053947,14.540911
"45","USA","United States",-95.712891,37.09024,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","United States, Embassy, Manila, Philippines",120.9776688,14.5771562
"46","VNM","Vietnam",108.277199,14.058324,"PHL","Philippines","Manila, Philippines","Manila",120.9842195,14.5995124,"Embassy / High Commission","Embassy","Vietnam, Embassy, Manila, Philippines",120.9922314,14.5605674
